A, 1, 7, -7.5571531726, 49.7668705629, -1
B, 1, 5, -7.5571511194, 49.7668526592, -1
C, 1, 4, -7.5571500928, 49.7668437074, -1
D, 1, 3, -7.5571490661, 49.7668347556, -1
E, 1, 2, -7.5571480395, 49.7668258038, -1
F, 1, 1, -7.5571470129, 49.7668168519, -1
G, 2, 7, -7.5571393520, 49.7668712279, -1
H, 2, 5, -7.5571372987, 49.7668533242, -1
I, 2, 4, -7.5571362721, 49.7668443724, -1
J, 2, 3, -7.5571352455, 49.7668354205, -1
K, 3, 5, -7.5571234781, 49.7668539892, -1
L, 3, 4, -7.5571224515, 49.7668450373, -1
M, 3, 3, -7.5571214249, 49.7668360855, -1
N, 4, 5, -7.5571096575, 49.7668546541, -1
O, 4, 4, -7.5571086309, 49.7668457023, -1
P, 4, 3, -7.5571076043, 49.7668367504, -1
Q, 5, 5, -7.5570958369, 49.7668553191, -1
R, 5, 4, -7.5570948103, 49.7668463672, -1
S, 5, 3, -7.5570937837, 49.7668374154, -1
