A, 1, 7, -0.03098, 51.53657, -1
B, 1, 5, -0.02554, 51.53833, -1
C, 1, 4, -0.02448, 51.53721, -1
D, 1, 3, -0.02415, 51.5445, -1
E, 1, 2, -0.02277, 51.54439, -1
F, 1, 1, -0.02204, 51.54735, -1
G, 2, 7, -0.02201, 51.54739, -1
H, 2, 5, -0.02185, 51.54525, -1
I, 2, 4, -0.02234, 51.53328, -1
J, 2, 3, -0.02206, 51.53948, -1
K, 3, 5, -0.02052, 51.54653, -1
L, 3, 4, -0.02025, 51.54472, -1
M, 3, 3, -0.01921, 51.54262, -1
N, 4, 5, -0.01725, 51.53934, -1
O, 4, 4, -0.01561, 51.53862, -1
P, 4, 3, -0.01273, 51.54337, -1
Q, 5, 5, -0.01272, 51.54202, -1
R, 5, 4, -0.01216, 51.5407, -1
S, 5, 3, -0.01078, 51.54023, -1
